Genus,Sizer-6,Sizer-5,Sizer-8,Sizer-4,Sizer-3,Sizer-7,Sizer-2,Sizer-1
Streptococcus,212,28911,42545,941,16198,16413,357,14158
Propionibacterium,39722,451,13,303,33,7470,49751,89
Veillonella,41,5507,36062,114,16975,5232,30,6566
Neisseria,7,1821,462,42879,1082,283,57,5573
Haemophilus,25,13619,4601,110,11764,837,13,12985
Granulicatella,14,9826,4631,167,1131,1530,56,17598
Corynebacterium,973,372,24,15991,413,7384,1287,73
Staphylococcus,4841,151,3,4752,19,12782,2326,36
Fusobacterium,15,2507,1028,56,17968,718,10,201
Prevotella,13,6908,3699,108,4905,3055,11,2695
Rothia,4,5055,3831,29,1255,1160,51,9476
Atopobium,3,475,14598,7,1948,1379,9,2401
Actinomyces,17,2125,5372,27,3766,1447,26,5251
Anaerococcus,12806,25,0,1322,7,2067,236,9
Mycoplasma,105,371,57,247,181,8005,4311,423
Porphyromonas,22,1932,454,113,2378,717,12,5589
Peptoniphilus,7823,46,5,24,53,1552,88,4
Gemella,35,2821,1018,136,1737,715,8,23
Campylobacter,895,601,1391,6,2599,306,0,46
Abiotrophia,33,510,215,11,124,384,16,3848
Kingella,1,3315,5,29,1715,24,0,36
Megasphaera,2,63,2269,8,1495,306,0,1
Capnocytophaga,1,289,28,4,648,75,0,2764
Oribacterium,2,233,753,8,673,291,1,1668
Actinobacillus,1,514,520,16,1237,118,1,348
Lactobacillus,45,5,3,203,4,2150,105,14
Mannheimia,2,563,308,13,631,29,3,525
Butyrivibrio,1,74,156,9,920,420,5,82
Leptotrichia,5,307,194,3,781,195,4,150
Aggregatibacter,2,728,182,5,432,227,0,2
Selenomonas,0,194,172,1,512,116,1,572
Stenoxybacter,0,5,0,1475,6,30,1,8
Finegoldia,668,1,0,32,1,573,79,23
Parascardovia,8,318,179,13,471,369,3,7
Enhydrobacter,93,42,0,264,21,701,155,54
Moryella,0,85,132,0,333,187,0,520
Chryseobacterium,7,165,79,12,96,737,9,14
Micrococcus,5,4,6,328,383,151,48,50
Trichococcus,0,234,323,0,29,25,0,279
Negativicoccus,805,11,6,0,2,51,0,4
Peptostreptococcus,1,471,32,5,209,18,1,127
Calothrix,26,3,24,54,11,115,508,95
Acinetobacter,6,47,1,170,29,545,4,27
Cohnella,0,185,108,5,410,97,0,16
Bulleidia,3,96,170,5,90,202,0,189
Lautropia,2,274,102,6,257,5,0,0
Dietzia,140,1,0,87,1,37,323,8
Alloiococcus,3,4,0,70,0,504,5,0
Facklamia,2,0,0,162,1,327,25,5
Mogibacterium,1,114,84,0,133,94,0,74
Pseudomonas,15,58,0,42,7,253,56,39
Alkaliphilus,0,85,35,3,193,52,1,72
Clostridium,3,41,51,14,44,257,5,22
Streptomyces,1,77,82,5,60,33,5,158
Leuconostoc,1,136,43,18,72,134,2,0
Vagococcus,0,116,61,0,15,16,2,133
Vitreoscilla,1,16,0,293,3,5,0,0
Treponema,2,90,72,5,51,77,0,0
Catonella,0,30,77,1,109,35,0,35
Kocuria,16,43,47,6,12,32,17,111
Bacillus,1,74,87,2,13,42,5,58
Pelagicoccus,1,38,69,2,119,48,1,1
Bacteroides,0,65,24,3,74,43,4,65
